9989;W78.9; Local NE;Inalação do conteúdo gástrico - local não especificado
12187;Z61.8; Outr eventos vida pessoal negativos infancia;Outros eventos da vida pessoal negativos na infância
12188;Z61.9; Evento pessoal negativo NE na infancia;Evento pessoal negativo não especificado na infância
12189;Z62.0; Superv contr inadeq p/parte dos pais;Supervisão e controle inadequado por parte dos pais
12190;Z62.1; Superprotecao p/parte dos pais;Superproteção por parte dos pais
12191;Z62.2; Educacao numa instituicao;Educação numa instituição
12192;Z62.3; Hostil c/rel crianca tranf bode expiatorio;Hostilidade com relação a uma criança, transformada em bode expiatório
12193;Z62.4; Negligencia emocional da crianca;Negligência emocional da criança
12194;Z62.5; Outr probl relac c/negl educacao dos filhos;Outros problemas relacionados com negligência na educação dos filhos
12195;Z62.6; Press nao apropr p/pais e outr falhas educ;Pressões não apropriadas por parte dos pais e outras falhas de educação
12196;Z62.8; Outr probl espec relac educacao dos filhos;Outros problemas especificados relacionados com a educação dos filhos
12197;Z62.9; Problema NE relac c/a educacao dos filhos;Problema não especificado relacionado com a educação dos filhos
12198;Z63.0; Problemas nas relacoes c/conjuge ou parceiro;Problemas nas relações com cônjuge ou parceiro
12199;Z63.1; Problemas relacoes c/os pais ou c/os sogros;Problemas nas relações com os pais ou com os sogros
12200;Z63.2; Suporte familiar inadequado;Suporte familiar inadequado
12201;Z63.3; Ausencia de um dos membros da familia;Ausência de um dos membros da família
12202;Z63.4; Desaparecimento falecimento membro familia;Desaparecimento ou falecimento de um membro da família
12203;Z63.5; Rompimento familia p/separacao ou divorcio;Rompimento da família por separação ou divórcio
12204;Z63.6; Parente dependente cuidados resid domicilio;Parente dependente de cuidados, residente no domicílio
12205;Z63.7; Outr acontec dificeis incid familia lar;Outros acontecimentos difíceis com incidência na família ou no lar
12206;Z63.8; Outr probl espec relac grupo prim de suporte;Outros problemas especificados relacionados com o grupo primário de suporte
12207;Z63.9; Problema NE relac c/o grupo prim de suporte;Problema não especificado relacionado com o grupo primário de suporte
12208;Z64.0; Problemas relac c/uma gravidez nao desejada;Problemas relacionados com uma gravidez não desejada
12209;Z64.1; Problemas relacionados c/multiparidade;Problemas relacionados com multiparidade
12210;Z64.2; Proc aceit interv fis nutr quim perig nociv;Procura e aceitação de intervenções físicas, nutricionais, ou químicas conhecidas como perigosas ou nocivas
12211;Z64.3; Proc aceit interv comport psic perig nocivas;Procura e aceitação de intervenções comportamentais ou psicológicas conhecidas como perigosas ou nocivas
12212;Z64.4; Desacordo c/conselheiros;Desacordo com conselheiros
12213;Z65.0; Condenacao s/prisao tribunal civil criminal;Condenação, sem prisão, por tribunal civil ou criminal
12214;Z65.1; Prisao ou encarceramento;Prisão ou encarceramento
12215;Z65.2; Problemas ligados a libertacao de prisao;Problemas ligados à libertação de prisão
12216;Z65.3; Problemas ligados a outr circunst legais;Problemas ligados à outras circunstâncias legais
12217;Z65.4; Vitima de crime ou de atos terroristas;Vítima de crime ou de atos terroristas
12218;Z65.5; Exposicao catastrofe guerra e outr hostilid;Exposição a catástrofe, guerra e outras hostilidades
12219;Z65.8; Outr probl espec relac circunst psicossoc;Outros problemas especificados relacionados com circunstâncias psicossociais
12220;Z65.9; Probl relac circunstancias psicossociais NE;Problemas relacionados com circunstâncias psicossociais não especificadas
12221;Z70.0; Acompanhament relat atitud materia sexualid;Acompanhamento relativo às atitudes em matéria de sexualidade
12222;Z70.1; Aconselh relat comport orient sexual sujeito;Aconselhamento relativo ao comportamento e à orientação sexual do sujeito
12223;Z70.2; Aconselh relat comport orient sexual terc;Aconselhamento relativo ao comportamento e à orientação sexual de um terceiro
12224;Z70.3; Acons rel preoc ass rel atit comp orient sex;Aconselhamento relativo a preocupações associadas relacionadas com as atitudes, o comportamento e orientação em matéria de sexualidade
12225;Z70.8; Outr aconselhamentos em materia sexualidade;Outros aconselhamentos em matéria de sexualidade
12226;Z70.9; Aconselhamento NE em materia de sexualidade;Aconselhamento não especificado em matéria de sexualidade
12227;Z71.0; Pessoa que consulta interesse de um terceiro;Pessoa que consulta no interesse de um terceiro
12228;Z71.1; Pessoa c/medo queixa nao foi feito diagn;Pessoa com medo de uma queixa para a qual não foi feito diagnóstico
12229;Z71.2; Pessoa que consulta p/explic achados exame;Pessoa que consulta para explicação de achados de exame
12230;Z71.3; Aconselhamento e supervisao dieteticos;Aconselhamento e supervisão dietéticos
12231;Z71.4; Aconselhamento e supervisao p/abuso alcool;Aconselhamento e supervisão para abuso de álcool
12232;Z71.5; Aconselhamento e supervisao p/abuso drogas;Aconselhamento e supervisão para abuso de drogas
12233;Z71.6; Aconselhamento p/o abuso de fumo;Aconselhamento para o abuso de fumo
12234;Z71.7; Aconselhamento a proposito do HIV;Aconselhamento a propósito do vírus da imunodeficiência humana [HIV]
12235;Z71.8; Outr aconselhamentos espec;Outros aconselhamentos especificados
12236;Z71.9; Aconselhamento NE;Aconselhamento não especificado
12237;Z72.0; Uso do tabaco;Uso do tabaco
12238;Z72.1; Uso de alcool;Uso de álcool
12239;Z72.2; Uso de droga;Uso de droga
12240;Z72.3; Falta de exercicio fisico;Falta de exercício físico
12241;Z72.4; Regime e habitos alimentares inadequados;Regime e hábitos alimentares inadequados
12242;Z72.5; Comport sexual de alto risco;Comportamento sexual de alto risco
12243;Z72.6; Mania de jogo e apostas;Mania de jogo e apostas
12244;Z72.8; Outr problemas relacionados c/o estilo vida;Outros problemas relacionados com o estilo de vida
12245;Z72.9; Problema NE relacionado c/o estilo de vida;Problema não especificado relacionado com o estilo de vida
12246;Z73.0; Esgotamento;Esgotamento
12247;Z73.1; Acentuacao de tracos de personalidade;Acentuação de traços de personalidade
12248;Z73.2; Falta de repouso e de lazer;Falta de repouso e de lazer
12249;Z73.3; Stress NCOP;Stress não classificado em outra parte
12250;Z73.4; Habilidades sociais inadequadas NCOP;Habilidades sociais inadequadas não classificadas em outra parte
12251;Z73.5; Conflito sobre o papel social NCOP;Conflito sobre o papel social, não classificado em outra parte
12252;Z73.6; Limites impostos as atividades p/invalidez;Limites impostos às atividades por invalidez
12253;Z73.8; Outr probl relac organiz modo de vida;Outros problemas relacionados com a organização do seu modo de vida
12254;Z73.9; Probl relac organiz modo de vida NE;Problema relacionado com a organização de seu modo de vida não especificado
12255;Z74.0; Mobilidade reduzida;Mobilidade reduzida
12256;Z74.1; Necessidade de assist c/cuidados pessoais;Necessidade de assistência com cuidados pessoais
12257;Z74.2; Necess assist domic nenh pessoa lar;Necessidade de assistência a domicílio, sendo que nenhuma pessoa do lar é capaz de assegurar os cuidados
12258;Z74.3; Necessidade de supervisao continua;Necessidade de supervisão contínua
12259;Z74.8; Outr probl relac dep pess q ofer cuid saude;Outros problemas relacionados com a dependência de pessoa que oferece cuidados de saúde
12260;Z74.9; Probl NE relac depend pess q ofer cuid saude;Problema não especificado relacionado com a dependência de pessoa que oferece cuidados de saúde
12261;Z75.0; Falta disponib servicos medicos no domicilio;Falta de disponibilidade de serviços médicos no domicílio
12262;Z75.1; Pess esper ser admit estab med adeq out part;Pessoa esperando ser admitida em estabelecimento médico adequado em outra parte
12263;Z75.2; Outr periodo de espera p/invest e tratamento;Outro período de espera para investigação e tratamento
12264;Z75.3; Facilid saude nao disponiveis ou nao acess;Facilidades de saúde não disponíveis ou não acessíveis
12265;Z75.4; Outr organiz cuidados nao disp ou nao acess;Outras organizações de cuidados não disponíveis ou não acessíveis
12266;Z75.5; Cuid dispensados ajudar familias ferias;Cuidados dispensados para ajudar às famílias durante as férias
12267;Z75.8; Outr dific esp relac facil med out cuid saud;Outras dificuldades especificadas relacionadas com facilidades médicas e com outros cuidados de saúde
12268;Z75.9; Probl NE relac facil med outr cuid saude;Problema não especificado relacionado com facilidades médicas e com outros cuidados de saúde
12269;Z76.0; Emissao de prescricao de repeticao;Emissão de prescrição de repetição
12270;Z76.1; Superv cuid saude de criancas assistidas;Supervisão e cuidado de saúde de crianças assistidas
12271;Z76.2; Superv cuid saud out crianc rec-nasc sadios;Supervisão de cuidado de saúde de outras crianças ou recém-nascidos sadios
12272;Z76.3; Pessoa em boa saude acompanh pessoa doente;Pessoa em boa saúde acompanhando pessoa doente
12273;Z76.4; Outr pensionistas estab de cuidados de saude;Outros pensionistas em estabelecimentos de cuidados de saúde
12274;Z76.5; Pessoa fingindo ser doente;Pessoa fingindo ser doente [simulação consciente]
12275;Z76.8; Cont serv saude p/outr circunstancias espec;Contatos com serviços de saúde por outras circunstâncias especificadas
12276;Z76.9; Pessoa cont serv saude em circunstancias NE;Pessoa em contato com serviços de saúde em circunstâncias não especificadas
12277;Z80.0; Historia familiar neopl malig org digestivos;História familiar de neoplasia maligna de órgãos digestivos
12278;Z80.1; Historia famil neopl malig traq bronq pulm;História familiar de neoplasia maligna de traquéia, brônquio e pulmão
12279;Z80.2; Hist fam neopl malig outr org resp intrator;História familiar de neoplasia maligna de outros órgãos respiratórios e intratorácicos
12280;Z80.3; Historia familiar de neoplasia de mama;História familiar de neoplasia de mama
12281;Z80.4; Historia familiar neopl malig org genitais;História familiar de neoplasia maligna de órgãos genitais
12282;Z80.5; Historia familiar neopl malig trato urinario;História familiar de neoplasia maligna do trato urinário
12283;Z80.6; Historia familiar de leucemia;História familiar de leucemia
12284;Z80.7; Hist fam out neopl malig tec linf hemat corr;História familiar de outras neoplasias malignas dos tecidos linfático, hematopoético e correlacionados
12285;Z80.8; Hist familiar neopl malig outr org aparelhos;História familiar de neoplasia maligna de outros órgãos ou aparelhos
12286;Z80.9; Historia familiar de neopl malig NE;História familiar de neoplasia maligna não especificada
12287;Z81.0; Historia familiar de retardo mental;História familiar de retardo mental
12288;Z81.1; Historia familiar de abuso de alcool;História familiar de abuso de álcool
12289;Z81.2; Historia familiar de abuso de fumo;História familiar de abuso de fumo
12290;Z81.3; Historia familiar abuso outr subst psicoativ;História familiar de abuso de outra substância psicoativa
12291;Z81.4; Historia familiar de abuso de outr subst;História familiar de abuso de outra substância
12292;Z81.8; Hist familiar outr transt mentais comport;História familiar de outros transtornos mentais e comportamentais
12293;Z82.0; Hist fam epilepsia outr doenc sist nerv;História familiar de epilepsia e de outras doenças do sistema nervoso
12294;Z82.1; Historia familiar cegueira e perda de visao;História familiar de cegueira e perda de visão
12295;Z82.2; Historia familiar surdez e perda de audicao;História familiar de surdez e perda de audição
12296;Z82.3; Historia familiar de acid vascular cerebral;História familiar de acidente vascular cerebral
12297;Z82.4; Hist fam doenc isq coracao out doenc ap circ;História familiar de doença isquêmica do coração e outras doenças do aparelho circulatório
12298;Z82.5; Hist fam asma outr doenc resp infer cronicas;História familiar de asma e outras doenças respiratórias inferiores crônicas
12299;Z82.6; Hist fam artr out doenc sist osteom tec conj;História familiar de artrite e outras doenças do sistema osteomuscular e tecido conjuntivo
12300;Z82.7; Hist fam malform deform congen anom cromos;História familiar de malformações e deformações congênitas e anomalias cromossômicas
12301;Z82.8; Hist fam outr incap doenc cron incapac NCOP;História familiar de outras incapacidades e doenças crônicas que conduzem a incapacitação, não classificadas em outra parte
12302;Z83.0; Historia familiar de doenc p/HIV;História familiar de doença pelo vírus da imunodeficiência humana [HIV]
12303;Z83.1; Historia familiar outr doenc infecc parasit;História familiar de outras doenças infecciosas e parasitárias
12304;Z83.2; Hist fam doenc sang org hemat transt imunit;História familiar de doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários
12305;Z83.3; Historia familiar de diabetes mellitus;História familiar de diabetes mellitus
12306;Z83.4; Hist fam outr doenc endocr nutr e metab;História familiar de outras doenças endócrinas, nutricionais e metabólicas
12307;Z83.5; Hist fam outr transt dos olhos e dos ouvidos;História familiar de outros transtornos dos olhos e dos ouvidos
12308;Z83.6; Historia familiar de doenc aparelho respirat;História familiar de doenças do aparelho respiratório
12309;Z83.7; Historia familiar doenc aparelho digestivo;História familiar das doenças do aparelho digestivo
